127.0.0.1 - - [07/Feb/2025:13:00:03 +0700] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:05 +0700] "GET /movie-website/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/index;jsessionid=43621901EDA96545928BC0DE9228D403 HTTP/1.1" 200 16167
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/css/templatemo-style.css HTTP/1.1" 200 14405
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/js/plugins.js HTTP/1.1" 200 180373
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/fontawesome/css/all.min.css HTTP/1.1" 200 59344
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/css/bootstrap.min.css HTTP/1.1" 200 147382
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/fontawesome/webfonts/fa-solid-900.woff2 HTTP/1.1" 200 80300
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/fontawesome/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /movie-website/templates/user/img/pngtree-d-rendered-illustration-of-blue-and-red-abstract-concept-in-4k-image_3691174.jpg HTTP/1.1" 200 60889
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:09 +0700] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:26 +0700] "GET /movie-website/login HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:28 +0700] "POST /movie-website/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:28 +0700] "GET /movie-website/index HTTP/1.1" 200 16328
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:00:58 +0700] "GET /movie-website/video?action=watch&id=3AtDnEC4zak HTTP/1.1" 200 7547
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:05 +0700] "GET /movie-website/login HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:07 +0700] "POST /movie-website/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:07 +0700] "GET /movie-website/index HTTP/1.1" 200 16328
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:11 +0700] "GET /movie-website/video?action=watch&id=3AtDnEC4zak HTTP/1.1" 200 8308
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:18 +0700] "GET /movie-website/video?action=like&id=3AtDnEC4zak HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:47 +0700] "GET /movie-website/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:47 +0700] "GET /movie-website/index HTTP/1.1" 200 16167
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:49 +0700] "GET /movie-website/login HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:55 +0700] "POST /movie-website/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:55 +0700] "GET /movie-website/index HTTP/1.1" 200 16329
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:58 +0700] "GET /movie-website/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:01:58 +0700] "GET /movie-website/index HTTP/1.1" 200 16167
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:01 +0700] "GET /movie-website/login HTTP/1.1" 200 6329
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:13 +0700] "POST /movie-website/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:13 +0700] "GET /movie-website/index HTTP/1.1" 200 16328
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/admin HTTP/1.1" 200 18494
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/jqvmap/jqvmap.min.css HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/icheck-bootstrap/icheck-bootstrap.min.css HTTP/1.1" 200 12505
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/dist/css/adminlte.min.css HTTP/1.1" 200 1396747
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/summernote/summernote-bs4.min.css HTTP/1.1" 200 19513
0:0:0:0:0:0:0:1 - - [07/Feb/2025:13:02:26 +0700] "GET /movie-website/templates/admin/plugins/overlayScrollbars/css/OverlayScrollbars.min.css HTTP/1.1" 200 20020
